Date : 2021-08-18 18:05:51
Directory : c:\laragon\www\rhtabiat
Total : 321 files,  27435 codes, 15084 comments, 2449 blanks, all 44968 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| routes                                                                                                            |          4 |        169 |         32 |         41 |        242 |
| tests                                                                                                             |          5 |         65 |         15 |         30 |        110 |
| tests\Feature                                                                                                     |          1 |         12 |          5 |          5 |         22 |
| tests\Unit                                                                                                        |          2 |         34 |          5 |         15 |         54 |
| vendor                                                                                                            |          2 |         17 |         27 |          1 |         45 |
| vendor\facade                                                                                                     |          2 |         17 |         27 |          1 |         45 |
| vendor\facade\ignition                                                                                            |          2 |         17 |         27 |          1 |         45 |
| vendor\facade\ignition\resources                                                                                  |          2 |         17 |         27 |          1 |         45 |
| vendor\facade\ignition\resources\compiled                                                                         |          2 |         17 |         27 |          1 |         45 |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                          | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\laragon\www\rhtabiat\.idea\codeStyles\codeStyleConfig.xml                                                      | XML        |          5 |          0 |          0 |          5 |
| c:\laragon\www\rhtabiat\.idea\inspectionProfiles\Project_Default.xml                                              | XML        |         25 |          0 |          0 |         25 |
| c:\laragon\www\rhtabiat\.idea\laravel-plugin.xml                                                                  | XML        |          8 |          0 |          0 |          8 |
| c:\laragon\www\rhtabiat\.idea\modules.xml                                                                         | XML        |          8 |          0 |          0 |          8 |
| c:\laragon\www\rhtabiat\.idea\php.xml                                                                             | XML        |        155 |          0 |          0 |        155 |
| c:\laragon\www\rhtabiat\.idea\phpunit.xml                                                                         | XML        |         11 |          0 |          0 |         11 |
| c:\laragon\www\rhtabiat\.idea\rhtabiat.iml                                                                        | XML        |        158 |          0 |          0 |        158 |
| c:\laragon\www\rhtabiat\.idea\vcs.xml                                                                             | XML        |          6 |          0 |          0 |          6 |
| c:\laragon\www\rhtabiat\.phpstorm.meta.php                                                                        | PHP        |      2,090 |          7 |          6 |      2,103 |
| c:\laragon\www\rhtabiat\.styleci.yml                                                                              | YAML       |         13 |          0 |          1 |         14 |
| c:\laragon\www\rhtabiat\README.md                                                                                 | Markdown   |         42 |          0 |         21 |         63 |
| c:\laragon\www\rhtabiat\_ide_helper.php                                                                           | PHP        |      5,937 |     12,559 |        278 |     18,774 |
| c:\laragon\www\rhtabiat\_ide_helper_models.php                                                                    | PHP        |          4 |         63 |          5 |         72 |
| c:\laragon\www\rhtabiat\app\Actions\EvaluatePromoCodeAction.php                                                   | PHP        |         25 |          2 |         10 |         37 |
| c:\laragon\www\rhtabiat\app\Actions\TranslateProductUnitsAction.php                                               | PHP        |         16 |          0 |          7 |         23 |
| c:\laragon\www\rhtabiat\app\Console\Kernel.php                                                                    | PHP        |         41 |         17 |          7 |         65 |
| c:\laragon\www\rhtabiat\app\Events\OrderCreated.php                                                               | PHP        |         23 |         10 |          7 |         40 |
| c:\laragon\www\rhtabiat\app\Events\UserRegisterAttempted.php                                                      | PHP        |         16 |          5 |          7 |         28 |
| c:\laragon\www\rhtabiat\app\Exceptions\Handler.php                                                                | PHP        |         40 |         19 |         11 |         70 |
| c:\laragon\www\rhtabiat\app\Exceptions\NotUsablePromoCodeException.php                                            | PHP        |         10 |          0 |          4 |         14 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\AddressController.php                                                | PHP        |         38 |          0 |          9 |         47 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\AdminController.php                                                  | PHP        |        103 |         34 |         14 |        151 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\Admin\AdminController.php                                            | PHP        |         11 |          0 |          4 |         15 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\Admin\AdminLoginController.php                                       | PHP        |         19 |          5 |          4 |         28 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\Admin\ArticleCategoryController.php                                  | PHP        |         32 |          0 |          8 |         40 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\Admin\ArticleController.php                                          | PHP        |         42 |          0 |          6 |         48 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\Admin\BannerController.php                                           | PHP        |         28 |          0 |         10 |         38 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\Admin\CommentController.php                                          | PHP        |         22 |          3 |          6 |         31 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\Admin\OrderController.php                                            | PHP        |         41 |          1 |          8 |         50 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\Admin\ProductCategoryController.php                                  | PHP        |         25 |          0 |          6 |         31 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\Admin\ProductController.php                                          | PHP        |         32 |          0 |          8 |         40 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\Admin\UpdateCommentStatus.php                                        | PHP        |         17 |          0 |          5 |         22 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\AuthController.php                                                   | PHP        |         22 |          2 |          4 |         28 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\BestSellingProductController.php                                     | PHP        |         13 |          0 |          4 |         17 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\Blog\ArticleCategoryController.php                                   | PHP        |         11 |          0 |          4 |         15 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\Blog\ArticleController.php                                           | PHP        |         27 |          0 |          8 |         35 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\Blog\ArticleRelatedArticleController.php                             | PHP        |         17 |          0 |          4 |         21 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\Blog\GetArticleRelatedProductsController.php                         | PHP        |         16 |          0 |          6 |         22 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\CartController.php                                                   | PHP        |         14 |          0 |          5 |         19 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\CategoryController.php                                               | PHP        |         46 |          0 |         10 |         56 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\Controller.php                                                       | PHP        |         10 |          0 |          4 |         14 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\Shop\BannerController.php                                            | PHP        |         30 |          0 |         10 |         40 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\Shop\DiscountCodeController.php                                      | PHP        |         41 |          0 |          7 |         48 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\Shop\EvaluatePromoCodeController.php                                 | PHP        |         24 |          0 |          5 |         29 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\Shop\GetOrderDeliveryCostFormulaController.php                       | PHP        |         28 |          0 |          7 |         35 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\Shop\GetProductItems.php                                             | PHP        |         23 |          0 |          5 |         28 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\Shop\GetProductUnitsController.php                                   | PHP        |         10 |          0 |          4 |         14 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\Shop\GetSimilarProducts.php                                          | PHP        |         12 |          0 |          4 |         16 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\Shop\GetTestimonials.php                                             | PHP        |         14 |          0 |          4 |         18 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\Shop\ImageController.php                                             | PHP        |         64 |          0 |         12 |         76 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\Shop\IndexBannerLocation.php                                         | PHP        |         11 |          0 |          4 |         15 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\Shop\IndexBestSellingProduct.php                                     | PHP        |         16 |          0 |          4 |         20 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\Shop\IndexSpecialProduct.php                                         | PHP        |         14 |          0 |          4 |         18 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\Shop\OrderController.php                                             | PHP        |         26 |          8 |         10 |         44 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\Shop\ProductCategoryController.php                                   | PHP        |         16 |          0 |          5 |         21 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\Shop\ProductController.php                                           | PHP        |         39 |          7 |         14 |         60 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\Shop\PromoCodeController.php                                         | PHP        |         40 |         30 |         12 |         82 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\Shop\RejectOrderController.php                                       | PHP        |         17 |          0 |          4 |         21 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\Shop\ReturnRequestController.php                                     | PHP        |         27 |          0 |          8 |         35 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\Shop\UpdateOrderDeliveryCodeController.php                           | PHP        |         18 |          7 |          6 |         31 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\Shop\UpdateOrderStatusController.php                                 | PHP        |         19 |          8 |          7 |         34 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\UserController.php                                                   | PHP        |         50 |         16 |         10 |         76 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\UserDetailController.php                                             | PHP        |         18 |          0 |          7 |         25 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\UserLoginController.php                                              | PHP        |         19 |          0 |          4 |         23 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\User\AddressController.php                                           | PHP        |         32 |         22 |          8 |         62 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\User\CartItemController.php                                          | PHP        |         51 |          0 |         12 |         63 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\User\CommentController.php                                           | PHP        |         16 |          0 |          5 |         21 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\User\CreateGuest.php                                                 | PHP        |         14 |          0 |          6 |         20 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\User\GetOrderDeliveryCostFormula.php                                 | PHP        |         19 |          0 |          4 |         23 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\User\GetOrderStatus.php                                              | PHP        |         30 |          0 |          4 |         34 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\User\GuestOrderController.php                                        | PHP        |         76 |          3 |         11 |         90 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\User\IndexCities.php                                                 | PHP        |         11 |          0 |          4 |         15 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\User\IndexProvinces.php                                              | PHP        |         11 |          0 |          4 |         15 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\User\LogController.php                                               | PHP        |         16 |          0 |          6 |         22 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\User\LoginUser.php                                                   | PHP        |         20 |          7 |          6 |         33 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\User\MessageController.php                                           | PHP        |         22 |          4 |          8 |         34 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\User\NotifyUserForOrder.php                                          | PHP        |         17 |          0 |          5 |         22 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\User\OrderController.php                                             | PHP        |         50 |          0 |          8 |         58 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\User\TrackOrder.php                                                  | PHP        |         15 |          0 |          5 |         20 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\User\TransactionController.php                                       | PHP        |         76 |          4 |         13 |         93 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\User\UpdateUserPassword.php                                          | PHP        |         29 |          6 |          9 |         44 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\User\UserController.php                                              | PHP        |         29 |          0 |          7 |         36 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\User\UserDetailController.php                                        | PHP        |         17 |          0 |          6 |         23 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\User\UserGetSelf.php                                                 | PHP        |         11 |          0 |          4 |         15 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\User\VerificationCodeController.php                                  | PHP        |         20 |          0 |          4 |         24 |
| c:\laragon\www\rhtabiat\app\Http\Controllers\User\VerifyOrder.php                                                 | PHP        |         68 |          3 |          9 |         80 |
| c:\laragon\www\rhtabiat\app\Http\Kernel.php                                                                       | PHP        |         40 |         21 |          7 |         68 |
| c:\laragon\www\rhtabiat\app\Http\Middleware\Authenticate.php                                                      | PHP        |         10 |          6 |          4 |         20 |
| c:\laragon\www\rhtabiat\app\Http\Middleware\CheckAdminRole.php                                                    | PHP        |         12 |          8 |          4 |         24 |
| c:\laragon\www\rhtabiat\app\Http\Middleware\EncryptCookies.php                                                    | PHP        |          8 |          6 |          4 |         18 |
| c:\laragon\www\rhtabiat\app\Http\Middleware\PreventRequestsDuringMaintenance.php                                  | PHP        |          8 |          6 |          4 |         18 |
| c:\laragon\www\rhtabiat\app\Http\Middleware\RedirectIfAuthenticated.php                                           | PHP        |         19 |          8 |          6 |         33 |
| c:\laragon\www\rhtabiat\app\Http\Middleware\TrimStrings.php                                                       | PHP        |         11 |          5 |          4 |         20 |
| c:\laragon\www\rhtabiat\app\Http\Middleware\TrustHosts.php                                                        | PHP        |         12 |          5 |          4 |         21 |
| c:\laragon\www\rhtabiat\app\Http\Middleware\TrustProxies.php                                                      | PHP        |          9 |         10 |          5 |         24 |
| c:\laragon\www\rhtabiat\app\Http\Middleware\VerifyCsrfToken.php                                                   | PHP        |          8 |          6 |          4 |         18 |
| c:\laragon\www\rhtabiat\app\Http\Requests\AdminStoreOrderRequest.php                                              | PHP        |         21 |          0 |          4 |         25 |
| c:\laragon\www\rhtabiat\app\Http\Requests\CalcDeliveryCost.php                                                    | PHP        |         14 |          0 |          4 |         18 |
| c:\laragon\www\rhtabiat\app\Http\Requests\EvaluatePromoCodeRequest.php                                            | PHP        |         20 |          0 |          5 |         25 |
| c:\laragon\www\rhtabiat\app\Http\Requests\IndexArticleRequest.php                                                 | PHP        |         18 |          0 |          5 |         23 |
| c:\laragon\www\rhtabiat\app\Http\Requests\IndexProductRequest.php                                                 | PHP        |         20 |          0 |          5 |         25 |
| c:\laragon\www\rhtabiat\app\Http\Requests\LoginUserRequest.php                                                    | PHP        |         21 |          6 |          5 |         32 |
| c:\laragon\www\rhtabiat\app\Http\Requests\RegisterUserRequest.php                                                 | PHP        |         18 |          0 |          5 |         23 |
| c:\laragon\www\rhtabiat\app\Http\Requests\SaveAddressRequest.php                                                  | PHP        |         23 |          0 |          5 |         28 |
| c:\laragon\www\rhtabiat\app\Http\Requests\SaveBannerRequest.php                                                   | PHP        |         30 |          0 |          6 |         36 |
| c:\laragon\www\rhtabiat\app\Http\Requests\SaveOrderRequest.php                                                    | PHP        |         28 |          0 |          5 |         33 |
| c:\laragon\www\rhtabiat\app\Http\Requests\StoreArticleRequest.php                                                 | PHP        |         35 |          0 |          5 |         40 |
| c:\laragon\www\rhtabiat\app\Http\Requests\StoreBannerRequest.php                                                  | PHP        |         20 |          5 |          5 |         30 |
| c:\laragon\www\rhtabiat\app\Http\Requests\StoreCartProduct.php                                                    | PHP        |         32 |         10 |          5 |         47 |
| c:\laragon\www\rhtabiat\app\Http\Requests\StoreComment.php                                                        | PHP        |         39 |          0 |          5 |         44 |
| c:\laragon\www\rhtabiat\app\Http\Requests\StoreDiscountCodeRequest.php                                            | PHP        |         20 |          0 |          4 |         24 |
| c:\laragon\www\rhtabiat\app\Http\Requests\StoreGuestOrderRequest.php                                              | PHP        |         62 |          0 |          7 |         69 |
| c:\laragon\www\rhtabiat\app\Http\Requests\StoreImageRequest.php                                                   | PHP        |         23 |          0 |          5 |         28 |
| c:\laragon\www\rhtabiat\app\Http\Requests\StoreMessageRequest.php                                                 | PHP        |         24 |          0 |          5 |         29 |
| c:\laragon\www\rhtabiat\app\Http\Requests\StoreOrder.php                                                          | PHP        |         75 |         22 |          7 |        104 |
| c:\laragon\www\rhtabiat\app\Http\Requests\StoreProductCategoryRequest.php                                         | PHP        |         24 |          0 |          5 |         29 |
| c:\laragon\www\rhtabiat\app\Http\Requests\StoreProductRequest.php                                                 | PHP        |         36 |          0 |          4 |         40 |
| c:\laragon\www\rhtabiat\app\Http\Requests\StorePromoCodeRequest.php                                               | PHP        |         37 |          5 |          5 |         47 |
| c:\laragon\www\rhtabiat\app\Http\Requests\StoreReturnRequestRequest.php                                           | PHP        |         16 |          5 |          4 |         25 |
| c:\laragon\www\rhtabiat\app\Http\Requests\StoreTransactionRequest.php                                             | PHP        |         37 |         10 |          6 |         53 |
| c:\laragon\www\rhtabiat\app\Http\Requests\StoreUserDetailRequest.php                                              | PHP        |         25 |          0 |          5 |         30 |
| c:\laragon\www\rhtabiat\app\Http\Requests\TrackOrder.php                                                          | PHP        |         26 |          0 |          5 |         31 |
| c:\laragon\www\rhtabiat\app\Http\Requests\UpdateBannerRequest.php                                                 | PHP        |         20 |          5 |          5 |         30 |
| c:\laragon\www\rhtabiat\app\Http\Requests\UpdateCommentStatus.php                                                 | PHP        |         21 |          0 |          4 |         25 |
| c:\laragon\www\rhtabiat\app\Http\Requests\UpdateImageRequest.php                                                  | PHP        |         37 |          0 |          6 |         43 |
| c:\laragon\www\rhtabiat\app\Http\Requests\UpdateProductCategoryRequest.php                                        | PHP        |         29 |          0 |          5 |         34 |
| c:\laragon\www\rhtabiat\app\Http\Requests\UpdateProductRequest.php                                                | PHP        |         43 |          0 |          4 |         47 |
| c:\laragon\www\rhtabiat\app\Http\Requests\VerifyOrderRequest.php                                                  | PHP        |         25 |          0 |          4 |         29 |
| c:\laragon\www\rhtabiat\app\Http\Resources\AddressResource.php                                                    | PHP        |         20 |          0 |          4 |         24 |
| c:\laragon\www\rhtabiat\app\Http\Resources\AdminResource.php                                                      | PHP        |         14 |          0 |          4 |         18 |
| c:\laragon\www\rhtabiat\app\Http\Resources\ArticleResource.php                                                    | PHP        |         21 |          0 |          4 |         25 |
| c:\laragon\www\rhtabiat\app\Http\Resources\BannerResource.php                                                     | PHP        |         15 |          0 |          4 |         19 |
| c:\laragon\www\rhtabiat\app\Http\Resources\CartResource.php                                                       | PHP        |         13 |          0 |          4 |         17 |
| c:\laragon\www\rhtabiat\app\Http\Resources\CategoryResource.php                                                   | PHP        |         18 |          0 |          4 |         22 |
| c:\laragon\www\rhtabiat\app\Http\Resources\CityResource.php                                                       | PHP        |         13 |          6 |          4 |         23 |
| c:\laragon\www\rhtabiat\app\Http\Resources\CommentResource.php                                                    | PHP        |         25 |          0 |         12 |         37 |
| c:\laragon\www\rhtabiat\app\Http\Resources\ContactResource.php                                                    | PHP        |         17 |          0 |          4 |         21 |
| c:\laragon\www\rhtabiat\app\Http\Resources\GuestResource.php                                                      | PHP        |         21 |          6 |          4 |         31 |
| c:\laragon\www\rhtabiat\app\Http\Resources\ImageCollectionResource.php                                            | PHP        |         16 |          0 |          4 |         20 |
| c:\laragon\www\rhtabiat\app\Http\Resources\ImageResource.php                                                      | PHP        |         20 |          0 |          4 |         24 |
| c:\laragon\www\rhtabiat\app\Http\Resources\IndexProduct.php                                                       | PHP        |         22 |          0 |          4 |         26 |
| c:\laragon\www\rhtabiat\app\Http\Resources\OrderResource.php                                                      | PHP        |         22 |          1 |          4 |         27 |
| c:\laragon\www\rhtabiat\app\Http\Resources\PosterResource.php                                                     | PHP        |         12 |          0 |          4 |         16 |
| c:\laragon\www\rhtabiat\app\Http\Resources\ProductCategoryResource.php                                            | PHP        |         24 |          0 |          4 |         28 |
| c:\laragon\www\rhtabiat\app\Http\Resources\ProductCollection.php                                                  | PHP        |         18 |          6 |          4 |         28 |
| c:\laragon\www\rhtabiat\app\Http\Resources\ProductContainerItemResource.php                                       | PHP        |         13 |          6 |          4 |         23 |
| c:\laragon\www\rhtabiat\app\Http\Resources\ProductFeatureResource.php                                             | PHP        |         22 |          1 |          4 |         27 |
| c:\laragon\www\rhtabiat\app\Http\Resources\ProductItemResource.php                                                | PHP        |         23 |          0 |          4 |         27 |
| c:\laragon\www\rhtabiat\app\Http\Resources\ProductResource.php                                                    | PHP        |         34 |          1 |          5 |         40 |
| c:\laragon\www\rhtabiat\app\Http\Resources\ProvinceResource.php                                                   | PHP        |         13 |          6 |          4 |         23 |
| c:\laragon\www\rhtabiat\app\Http\Resources\SingleArticleResource.php                                              | PHP        |         24 |          0 |          4 |         28 |
| c:\laragon\www\rhtabiat\app\Http\Resources\SingleProductResource.php                                              | PHP        |         24 |          0 |         13 |         37 |
| c:\laragon\www\rhtabiat\app\Http\Resources\UserDetailResource.php                                                 | PHP        |         14 |          0 |          4 |         18 |
| c:\laragon\www\rhtabiat\app\Http\Resources\UserResource.php                                                       | PHP        |         15 |          0 |          4 |         19 |
| c:\laragon\www\rhtabiat\app\Jobs\CreateTransaction.php                                                            | PHP        |         57 |         10 |         10 |         77 |
| c:\laragon\www\rhtabiat\app\Jobs\EmptyCart.php                                                                    | PHP        |         19 |         10 |          7 |         36 |
| c:\laragon\www\rhtabiat\app\Jobs\NotifyViaSms.php                                                                 | PHP        |         42 |          6 |         11 |         59 |
| c:\laragon\www\rhtabiat\app\Listeners\SendSMSNotification.php                                                     | PHP        |         15 |         12 |          5 |         32 |
| c:\laragon\www\rhtabiat\app\Listeners\SendVerificationCodeViaSMS.php                                              | PHP        |         15 |          6 |          4 |         25 |
| c:\laragon\www\rhtabiat\app\Models\Address.php                                                                    | PHP        |         37 |         38 |         10 |         85 |
| c:\laragon\www\rhtabiat\app\Models\Admin.php                                                                      | PHP        |         58 |         16 |         16 |         90 |
| c:\laragon\www\rhtabiat\app\Models\Article.php                                                                    | PHP        |         70 |          0 |         13 |         83 |
| c:\laragon\www\rhtabiat\app\Models\ArticleCategory.php                                                            | PHP        |         20 |          0 |          8 |         28 |
| c:\laragon\www\rhtabiat\app\Models\Banner.php                                                                     | PHP        |         30 |          4 |         10 |         44 |
| c:\laragon\www\rhtabiat\app\Models\Cart.php                                                                       | PHP        |         40 |         20 |          7 |         67 |
| c:\laragon\www\rhtabiat\app\Models\City.php                                                                       | PHP        |         10 |          0 |          6 |         16 |
| c:\laragon\www\rhtabiat\app\Models\Comment.php                                                                    | PHP        |         66 |         34 |         14 |        114 |
| c:\laragon\www\rhtabiat\app\Models\DiscountCode.php                                                               | PHP        |         61 |          5 |         12 |         78 |
| c:\laragon\www\rhtabiat\app\Models\DiscountCodeGroup.php                                                          | PHP        |         13 |          0 |          7 |         20 |
| c:\laragon\www\rhtabiat\app\Models\GuestOrder.php                                                                 | PHP        |         32 |          0 |          9 |         41 |
| c:\laragon\www\rhtabiat\app\Models\Image.php                                                                      | PHP        |         99 |         31 |         19 |        149 |
| c:\laragon\www\rhtabiat\app\Models\Log.php                                                                        | PHP        |         10 |          0 |          5 |         15 |
| c:\laragon\www\rhtabiat\app\Models\Message.php                                                                    | PHP        |         16 |         21 |          7 |         44 |
| c:\laragon\www\rhtabiat\app\Models\Order.php                                                                      | PHP        |        162 |         40 |         28 |        230 |
| c:\laragon\www\rhtabiat\app\Models\Phone.php                                                                      | PHP        |         16 |         16 |          7 |         39 |
| c:\laragon\www\rhtabiat\app\Models\Product.php                                                                    | PHP        |        204 |         47 |         49 |        300 |
| c:\laragon\www\rhtabiat\app\Models\ProductCategory.php                                                            | PHP        |         34 |          0 |         11 |         45 |
| c:\laragon\www\rhtabiat\app\Models\ProductItem.php                                                                | PHP        |         38 |          0 |          9 |         47 |
| c:\laragon\www\rhtabiat\app\Models\PromoCode.php                                                                  | PHP        |         54 |         15 |         16 |         85 |
| c:\laragon\www\rhtabiat\app\Models\Province.php                                                                   | PHP        |         10 |          0 |          6 |         16 |
| c:\laragon\www\rhtabiat\app\Models\ReturnRequest.php                                                              | PHP        |         20 |          0 |          7 |         27 |
| c:\laragon\www\rhtabiat\app\Models\Transaction.php                                                                | PHP        |         33 |         25 |          9 |         67 |
| c:\laragon\www\rhtabiat\app\Models\User.php                                                                       | PHP        |         79 |         25 |         18 |        122 |
| c:\laragon\www\rhtabiat\app\Models\UserDetail.php                                                                 | PHP        |         20 |         22 |         10 |         52 |
| c:\laragon\www\rhtabiat\app\Models\VerificationCode.php                                                           | PHP        |         31 |          0 |         11 |         42 |
